Timestamp,Cpacidad disponible, Capacidad utilizada,% Memoria utilizada 
18:31:42,2651276,1386900,34.344715
18:31:47,2651276,1386900,34.344715
18:31:52,2651276,1386900,34.344715
18:31:57,2651276,1386900,34.344715
18:32:02,2651028,1387148,34.350853
18:32:07,2651028,1387148,34.350853
18:32:12,2651028,1387148,34.350853
18:32:17,2651028,1387148,34.350853
18:32:22,2651028,1387148,34.350853
18:32:27,2651028,1387148,34.350853
18:32:32,2651028,1387148,34.350853
18:32:37,2651028,1387148,34.350853
18:32:42,2651028,1387148,34.350853
18:32:47,2651028,1387148,34.350853
18:32:52,2651028,1387148,34.350853
18:32:57,2651028,1387148,34.350853
18:33:02,2650904,1387272,34.353928
18:33:07,2650904,1387272,34.353928
18:33:12,2650904,1387272,34.353928
18:33:17,2650904,1387272,34.353928
18:33:22,2650904,1387272,34.353928
18:33:27,2650904,1387272,34.353928
18:33:32,2650904,1387272,34.353928
18:33:37,2650780,1387396,34.356995
18:33:42,2650780,1387396,34.356995
18:33:47,2650780,1387396,34.356995
18:33:52,2650780,1387396,34.356995
18:33:57,2650780,1387396,34.356995
18:34:02,2650780,1387396,34.356995
18:34:07,2650780,1387396,34.356995
18:34:12,2650780,1387396,34.356995
18:34:17,2650780,1387396,34.356995
18:34:22,2650780,1387396,34.356995
18:34:27,2650780,1387396,34.356995
18:34:32,2650904,1387272,34.353928
18:34:37,2650904,1387272,34.353928
18:34:42,2650904,1387272,34.353928
18:34:47,2650904,1387272,34.353928
18:34:52,2650904,1387272,34.353928
18:34:57,2650904,1387272,34.353928
18:35:02,2650904,1387272,34.353928
18:35:07,2650904,1387272,34.353928
18:35:12,2650904,1387272,34.353928
18:35:17,2650904,1387272,34.353928
18:35:22,2650904,1387272,34.353928
18:35:27,2650904,1387272,34.353928
18:35:32,2650904,1387272,34.353928
18:35:37,2650904,1387272,34.353928
18:35:42,2650904,1387272,34.353928
18:35:47,2650904,1387272,34.353928
18:35:52,2650904,1387272,34.353928
18:35:57,2650904,1387272,34.353928
18:36:02,2651028,1387148,34.350853
18:36:07,2651028,1387148,34.350853
18:36:12,2651028,1387148,34.350853
18:36:17,2651028,1387148,34.350853
18:36:22,2651028,1387148,34.350853
18:36:27,2651028,1387148,34.350853
18:36:32,2651028,1387148,34.350853
18:36:37,2651028,1387148,34.350853
18:36:42,2651028,1387148,34.350853
18:36:48,2651028,1387148,34.350853
18:36:53,2651028,1387148,34.350853
18:36:58,2651028,1387148,34.350853
18:37:03,2651028,1387148,34.350853
18:37:08,2651028,1387148,34.350853
18:37:13,2651028,1387148,34.350853
18:37:18,2651028,1387148,34.350853
18:37:23,2651028,1387148,34.350853
18:37:28,2651028,1387148,34.350853
18:37:33,2651028,1387148,34.350853
18:37:38,2650904,1387272,34.353928
18:37:43,2650904,1387272,34.353928
18:37:48,2650904,1387272,34.353928
18:37:53,2650904,1387272,34.353928
18:37:58,2650904,1387272,34.353928
18:38:03,2650904,1387272,34.353928
18:38:08,2650904,1387272,34.353928
18:38:13,2650904,1387272,34.353928
18:38:18,2650904,1387272,34.353928
18:38:23,2650904,1387272,34.353928
18:38:28,2650904,1387272,34.353928
18:38:33,2650904,1387272,34.353928
18:38:38,2650904,1387272,34.353928
18:38:43,2650904,1387272,34.353928
18:38:48,2650904,1387272,34.353928
18:38:53,2650904,1387272,34.353928
18:38:58,2650904,1387272,34.353928
18:39:03,2650904,1387272,34.353928
18:39:08,2650904,1387272,34.353928
18:39:13,2650904,1387272,34.353928
18:39:18,2650904,1387272,34.353928
18:39:23,2650904,1387272,34.353928
18:39:28,2650904,1387272,34.353928
18:39:33,2650904,1387272,34.353928
18:39:38,2650904,1387272,34.353928
18:39:43,2650904,1387272,34.353928
18:39:48,2650904,1387272,34.353928
18:39:53,2650904,1387272,34.353928
18:39:58,2650904,1387272,34.353928
18:40:03,2650904,1387272,34.353928
18:40:08,2650904,1387272,34.353928
18:40:13,2650904,1387272,34.353928
18:40:18,2650904,1387272,34.353928
18:40:23,2650904,1387272,34.353928
18:40:28,2650904,1387272,34.353928
18:40:33,2650904,1387272,34.353928
18:40:38,2650904,1387272,34.353928
18:40:43,2650904,1387272,34.353928
18:40:48,2650904,1387272,34.353928
18:40:53,2650904,1387272,34.353928
18:40:58,2650904,1387272,34.353928
18:41:03,2651152,1387024,34.347786
18:41:08,2651276,1386900,34.344715
18:41:13,2651276,1386900,34.344715
18:41:18,2651152,1387024,34.347786
18:41:23,2651152,1387024,34.347786
18:41:28,2651152,1387024,34.347786
18:41:33,2651028,1387148,34.350853
18:41:38,2651028,1387148,34.350853
18:41:43,2651028,1387148,34.350853
18:41:48,2651028,1387148,34.350853
18:41:53,2651028,1387148,34.350853
18:41:58,2651028,1387148,34.350853
