Timestamp,% global CPU,Cpacidad de memoria utilizada,% Memoria utilizada 
18:23:41,2.3,1505780,37.2886
18:23:43,2.3,1505936,37.2925
18:23:45,2.3,1505836,37.2900
18:23:47,2.3,1505672,37.2859
18:23:49,2.3,1505696,37.2865
18:23:51,2.3,1505572,37.2835
18:23:53,2.3,1505556,37.2831
18:23:56,2.3,1505556,37.2831
18:23:58,2.3,1505828,37.2898
18:24:00,2.3,1505500,37.2817
18:24:02,2.3,1505584,37.2838
18:24:04,2.3,1505568,37.2834
18:24:06,2.3,1505496,37.2816
18:24:08,2.2,1505220,37.2747
18:24:10,2.2,1505252,37.2755
18:24:12,2.2,1505500,37.2817
18:24:14,2.2,1505376,37.2786
18:24:17,2.2,1505616,37.2846
18:24:19,2.2,1505648,37.2853
18:24:21,2.2,1505492,37.2815
18:24:23,2.2,1505360,37.2782
18:24:25,2.2,1505376,37.2786
18:24:27,2.2,1505244,37.2753
18:24:29,2.2,1505212,37.2746
18:24:31,2.2,1505600,37.2842
18:24:33,2.2,1505616,37.2846
18:24:35,2.2,1505236,37.2751
18:24:37,2.2,1505236,37.2751
18:24:40,2.2,1505316,37.2771
18:24:42,2.2,1505060,37.2708
18:24:44,2.2,1505440,37.2802
18:24:46,2.2,1505440,37.2802
18:24:48,2.1,1505456,37.2806
18:24:50,2.1,1505340,37.2777
18:24:52,2.1,1505576,37.2836
18:24:54,2.1,1505520,37.2822
18:24:56,2.1,1505628,37.2849
18:24:58,2.1,1505404,37.2793
18:25:01,2.1,1505388,37.2789
18:25:03,2.1,1505528,37.2824
18:25:05,2.1,1505188,37.2740
18:25:07,2.1,1505312,37.2770
18:25:09,2.1,1505320,37.2772
18:25:11,2.1,1505584,37.2838
18:25:13,2.1,1505620,37.2847
18:25:15,2.1,1505628,37.2849
18:25:17,2.1,1505496,37.2816
18:25:19,2.1,1505612,37.2845
18:25:21,2.1,1505596,37.2841
18:25:23,2.1,1505588,37.2839
18:25:25,2.1,1505564,37.2833
18:25:28,2.1,1505920,37.2921
18:25:30,2.1,1505928,37.2923
18:25:32,2.0,1505936,37.2925
18:25:34,2.0,1505804,37.2892
18:25:36,2.0,1505704,37.2867
18:25:38,2.0,1505712,37.2869
18:25:40,2.0,1505712,37.2869
